area_name,median_rent,median_home_value,median_income,zip,is_texas_zip,rent_affordability_score,home_affordability_score,income_score,starter_score
ZCTA5 77864,912,168400,73247,77864,TRUE,7.998146432,9.220210981,2.48267972,6.710125783
ZCTA5 78583,698,161900,51453,78583,TRUE,8.659252394,9.259170463,1.555784272,6.708187378
ZCTA5 75446,599,238800,52460,75446,TRUE,8.965091134,8.79824982,1.598611826,6.705094947
ZCTA5 76377,942,98000,65667,76377,TRUE,7.905468026,9.642172141,2.160303493,6.702929901
ZCTA5 75789,971,202000,83131,75789,TRUE,7.8158789,9.018820427,2.903044712,6.702911102
ZCTA5 78019,814,81900,50992,78019,TRUE,8.300895891,9.738671781,1.536178013,6.702813295
ZCTA5 75860,839,128400,59950,75860,TRUE,8.223663886,9.45996164,1.917160367,6.702602157
ZCTA5 76676,900,164300,70625,76676,TRUE,8.035217794,9.244785423,2.371166466,6.698872684
ZCTA5 78343,924,112200,65467,78343,TRUE,7.96107507,9.557060657,2.151797524,6.697087482
ZCTA5 77878,734,207000,60417,77878,TRUE,8.548038307,8.988851594,1.937021805,6.696977343
ZCTA5 75432,865,151700,65030,75432,TRUE,8.143342601,9.320306881,2.133211982,6.693392699
ZCTA5 76664,941,168900,74618,76664,TRUE,7.908557306,9.217214097,2.540988138,6.690883593
ZCTA5 79336,849,140000,61598,79336,TRUE,8.192771084,9.390433949,1.987249552,6.690413484
ZCTA5 76424,845,103900,56082,76424,TRUE,8.205128205,9.606808919,1.752654926,6.689890435
ZCTA5 76366,769,156700,56034,76366,TRUE,8.4399135,9.290338048,1.750613493,6.688250862
ZCTA5 76518,704,225000,59333,76518,TRUE,8.640716713,8.880963798,1.890919453,6.68785166
ZCTA5 79731,882,129400,63096,79731,TRUE,8.090824838,9.453967873,2.050959261,6.687808075
ZCTA5 75667,896,105400,61065,75667,TRUE,8.047574915,9.597818269,1.964581145,6.68774979
ZCTA5 78375,781,91900,47941,78375,TRUE,8.402842138,9.678734117,1.406419455,6.686682927
ZCTA5 79001,1100,122500,83125,79001,TRUE,7.417361755,9.495324862,2.902789533,6.68637902
ZCTA5 79007,916,112900,63929,79007,TRUE,7.985789311,9.55286502,2.086386622,6.686091217
ZCTA5 75650,1142,197200,97596,75650,TRUE,7.287611986,9.047590506,3.518238924,6.684793624
ZCTA5 78164,870,171300,67578,78164,TRUE,8.1278962,9.202829058,2.241578027,6.684480606
ZCTA5 77837,846,119600,57917,77837,TRUE,8.202038925,9.512706785,1.830697192,6.683836763
ZCTA5 78940,919,292200,89157,78940,TRUE,7.97652147,8.47818269,3.15932956,6.681862263
ZCTA5 75410,864,222900,73934,75410,TRUE,8.146431881,8.893550707,2.511897724,6.680207282
ZCTA5 75457,928,249800,83916,75457,TRUE,7.948717949,8.732318389,2.93643064,6.680111888
ZCTA5 75686,797,170700,59991,75686,TRUE,8.353413655,9.206425318,1.918904091,6.678964284
ZCTA5 78016,732,221500,60736,78016,TRUE,8.554216867,8.90194198,1.950588826,6.677445989
ZCTA5 77951,745,133300,49531,77951,TRUE,8.514056225,9.430592184,1.474041909,6.677012718
ZCTA5 76443,791,104700,49915,76443,TRUE,8.371949336,9.602013906,1.49037337,6.676495917
ZCTA5 76453,944,350000,99293,76453,TRUE,7.899289466,8.131742987,3.590412072,6.676362304
ZCTA5 77871,788,234300,67877,77871,TRUE,8.381217176,8.825221769,2.254294451,6.676341737
ZCTA5 77968,847,252300,76083,77968,TRUE,8.198949645,8.717333973,2.603294362,6.675768358
ZCTA5 75638,955,111000,66579,75638,TRUE,7.865307383,9.564253177,2.199090712,6.67512612
ZCTA5 77856,945,318400,94785,77856,TRUE,7.896200185,8.321146008,3.398687529,6.674430135
ZCTA5 79843,477,289300,45263,79843,TRUE,9.341983318,8.495564613,1.292524529,6.67322007
ZCTA5 78141,771,75700,43553,78141,TRUE,8.43373494,9.775833134,1.219798494,6.672183464
ZCTA5 75416,920,202500,75735,75416,TRUE,7.97343219,9.015823544,2.588493976,6.670668132
ZCTA5 78516,806,121200,53229,78516,TRUE,8.325610133,9.503116759,1.631317277,6.670574264
ZCTA5 78026,993,172800,78501,78026,TRUE,7.747914736,9.193838408,2.706131528,6.669156875
ZCTA5 79764,898,143500,65170,79764,TRUE,8.041396355,9.369455766,2.13916616,6.66914512
ZCTA5 76635,852,153300,62031,76635,TRUE,8.183503244,9.310716854,2.005664975,6.668315846
ZCTA5 77461,999,275300,93446,77461,TRUE,7.729379055,8.579477344,3.341740066,6.668116845
ZCTA5 76890,850,158000,62411,76890,TRUE,8.189681804,9.282546152,2.021826317,6.667184462
ZCTA5 78055,929,266500,85345,78055,TRUE,7.945628669,8.632222489,2.997205789,6.667079951
ZCTA5 79363,1124,210100,96128,79363,TRUE,7.34321903,8.970270918,3.455805111,6.665110421
ZCTA5 78393,1009,155100,77014,78393,TRUE,7.698486253,9.299928075,2.642889648,6.662239818
ZCTA5 75935,786,111500,49239,75935,TRUE,8.387395737,9.561256293,1.461623194,6.661822141
ZCTA5 76446,765,185500,57583,76446,TRUE,8.452270621,9.117717574,1.816492223,6.661171188
ZCTA5 75559,828,147400,58313,75559,TRUE,8.257645968,9.346080077,1.847539011,6.661144114
ZCTA5 77371,1020,195000,83594,77371,TRUE,7.664504171,9.060776792,2.92273603,6.660855515
ZCTA5 75414,981,246700,86993,75414,TRUE,7.784986098,8.750899065,3.067294974,6.659452651
ZCTA5 75668,752,81700,41495,75668,TRUE,8.492431264,9.739870535,1.132272072,6.658615287
ZCTA5 77331,729,246200,62321,77331,TRUE,8.563484708,8.753895948,2.017998631,6.656962257
ZCTA5 77880,988,270800,90856,77880,TRUE,7.763361137,8.606449293,3.231587767,6.656755573
ZCTA5 76379,955,148300,70313,76379,TRUE,7.865307383,9.340685687,2.357897154,6.655697806
ZCTA5 76570,735,86100,40000,76570,TRUE,8.544949027,9.713497962,1.068689953,6.652635985
ZCTA5 76864,771,172100,55598,76864,TRUE,8.43373494,9.198034045,1.73207048,6.652525333
ZCTA5 79005,946,155900,70223,79005,TRUE,7.893110905,9.295133062,2.354069468,6.652005121
ZCTA5 75949,953,100400,63047,75949,TRUE,7.871485944,9.627787101,2.048875298,6.651593097
ZCTA5 75939,665,177600,46014,75939,TRUE,8.761198641,9.165068329,1.324464443,6.651339288
ZCTA5 77963,765,185900,56804,77963,TRUE,8.452270621,9.115320067,1.783361474,6.650512711
